資料比對,分機號碼,線組編號,使用單位,裝機位置,分機種類,副機數量,G450 Port,對應DID號碼,拆遷記錄,備註
,2560,6,Y6T,W6、Y6設計大樓三樓組長室,甲機,1,021V815,0,,組長
●,2119,    G - 71,A25,消防隊辦公室、值班室、安管中心、Y91,甲機,3,001V202,0,,1030919-更顯示型類比話機-
,2244, OG1 - 21,W511,供電中心,甲機,1,100V204,0,1000920增1副,
,6819, OG1 - 22,W5,能源調度中心一樓（W511）,甲機,0,100V322,0,99.05.19裝,緊急指揮中心
,2265, OG1 - 23,W512,能源調度中心,甲機,1,100V208,0,1000920增1副,
,5533,1F - 19,A33,一行105R,甲機,0,011V702,8051588,,
,5157,1F - 22,A33,一行105R,甲機,0,011V622,8051053,,DID:8051517；可撥國際
,5551,1F - 23,A33,一行105R,甲機,0,013V312,8051052,,
,5742,1F - 29,A33,一行105R,甲機,0,001V507,0,,
,3080,"1F - 41
1F - 53",A31,一行113室,甲機,3,001V319,8051113,94.03.15遷,組長，DID：8051113
,2704,1F - 42,A3,一行105、101,乙機,1,001V311,0,,會客室(公關在使用)
,6000,1F - 49,A22,總機室,甲機,0,001V509,0,,
,3532,1F - 59,A30,一行114室,甲機,0,001V404,8051114,,"DID：8051114_x000D_
汪文軍"
,2575,1F - 60,A31,一行112、113室,甲機,1,001V224,8051117,94.03.15遷,DID：8051117
,6107,1F - 65,A31,一行113室、114室,甲機,1,001V513,0,90.12.31改A0使用；93.09.02遷,
,3551,"1F - 66
1F - 79",A3,一行111,甲機,0,003V103,8051112,94.05.18遷；98.07.09遷；1010313拆1副,1030919-更數位話機-DID：8051112
,2126,1F - 71,A31,一行樓113室、114室,甲機,2,001V215,8051040,93.09.02增副,DID：8051040
,2117,1F - 73,A31,一行樓113室,甲機,1,001V213,8051006,,
,2196,"1F - 74
1F - 76",A32,一行109室,甲機,0,001V218,8051115,106.01.17拆1副；,106.01.17拆1副給5688用
,2651,1F - 75,A31,一行112室,甲機,0,001V306,0,,
,2127,1F - 77,A32,一行1F-109室,甲機,0,001V216,8051118,1021015拆1副,DID：8051118
,3555,1F - 78,A32,一行109室,甲機,0,001V408,8051119,,組長，DID：8051119
,5689,1F - 81,A33,一行1F/109室,甲機,0,001V506,8051576,1031215遷移；991027新裝；1010302遷,DID:8051576
,3552,1F - 82,A32,一行109室,甲機,0,001V407,8051116,991112增1副,DID：8051116
